scenario,tz_name,daio,year,flights
Actual,NM Area,AD,2010,429478
Actual,NM Area,I,2010,1878453
Actual,NM Area,O,2010,31626
Actual,NM Area,T,2010,2339557
Actual,Albania,AD,2010,21015
Actual,Albania,I,2010,2
Actual,Albania,O,2010,160369
Actual,Albania,T,2010,181386
Actual,Armenia,AD,2010,21503
Actual,Armenia,I,2010,14
Actual,Armenia,O,2010,31357
Actual,Armenia,T,2010,52874
Actual,Austria,AD,2010,321327
Actual,Austria,I,2010,28254
Actual,Austria,O,2010,787793
Actual,Austria,T,2010,1137374
Actual,Azerbaijan,AD,2010,37462
Actual,Azerbaijan,I,2010,2943
Actual,Azerbaijan,O,2010,79784
Actual,Azerbaijan,T,2010,120189
Actual,BLUE MED FAB,AD,2010,1060667
Actual,BLUE MED FAB,I,2010,531675
Actual,BLUE MED FAB,O,2010,677602
Actual,BLUE MED FAB,T,2010,2269944
Actual,Baltic FAB,AD,2010,246961
Actual,Baltic FAB,I,2010,44574
Actual,Baltic FAB,O,2010,387710
Actual,Baltic FAB,T,2010,679245
Actual,Belgium/Luxembourg,AD,2010,360024
Actual,Belgium/Luxembourg,I,2010,8352
Actual,Belgium/Luxembourg,O,2010,666898
Actual,Belgium/Luxembourg,T,2010,1035274
Actual,Bosnia and Herzegovina,AD,2010,13793
Actual,Bosnia and Herzegovina,I,2010,335
Actual,Bosnia and Herzegovina,O,2010,235674
Actual,Bosnia and Herzegovina,T,2010,249802
Actual,Bulgaria,AD,2010,67135
Actual,Bulgaria,I,2010,4586
Actual,Bulgaria,O,2010,431785
Actual,Bulgaria,T,2010,503506
Actual,Croatia,AD,2010,63716
Actual,Croatia,I,2010,10343
Actual,Croatia,O,2010,384598
Actual,Croatia,T,2010,458657
Actual,Cyprus,AD,2010,63547
Actual,Cyprus,I,2010,1972
Actual,Cyprus,O,2010,219243
Actual,Cyprus,T,2010,284762
Actual,Czech Republic,AD,2010,160181
Actual,Czech Republic,I,2010,8419
Actual,Czech Republic,O,2010,499852
Actual,Czech Republic,T,2010,668452
Actual,DK-SE FAB,AD,2010,444657
Actual,DK-SE FAB,I,2010,220942
Actual,DK-SE FAB,O,2010,287585
Actual,DK-SE FAB,T,2010,953184
Actual,Danube FAB,AD,2010,180403
Actual,Danube FAB,I,2010,34751
Actual,Danube FAB,O,2010,518477
Actual,Danube FAB,T,2010,733631
Actual,Denmark,AD,2010,253470
Actual,Denmark,I,2010,51379
Actual,Denmark,O,2010,289790
Actual,Denmark,T,2010,594639
Actual,ECAC,AD,2010,1724335
Actual,ECAC,I,2010,7762046
Actual,ECAC,O,2010,133399
Actual,ECAC,T,2010,9619780
Actual,ESRA08,AD,2010,1815417
Actual,ESRA08,I,2010,7561778
Actual,ESRA08,O,2010,115536
Actual,ESRA08,T,2010,9492731
Actual,Estonia,AD,2010,29020
Actual,Estonia,I,2010,2649
Actual,Estonia,O,2010,124459
Actual,Estonia,T,2010,156128
Actual,FAB CE,AD,2010,642948
Actual,FAB CE,I,2010,98073
Actual,FAB CE,O,2010,1122626
Actual,FAB CE,T,2010,1863647
Actual,FABEC,AD,2010,2907440
Actual,FABEC,I,2010,1327138
Actual,FABEC,O,2010,1196414
Actual,FABEC,T,2010,5430992
Actual,Finland,AD,2010,140214
Actual,Finland,I,2010,60709
Actual,Finland,O,2010,40974
Actual,Finland,T,2010,241897
Actual,France,AD,2010,1035943
Actual,France,I,2010,427908
Actual,France,O,2010,1329868
Actual,France,T,2010,2793719
Actual,Georgia,AD,2010,17170
Actual,Georgia,I,2010,1103
Actual,Georgia,O,2010,76074
Actual,Georgia,T,2010,94347
Actual,Germany,AD,2010,1531993
Actual,Germany,I,2010,381182
Actual,Germany,O,2010,1067597
Actual,Germany,T,2010,2980772
Actual,Greece,AD,2010,222220
Actual,Greece,I,2010,119069
Actual,Greece,O,2010,313349
Actual,Greece,T,2010,654638
Actual,Hungary,AD,2010,110002
Actual,Hungary,I,2010,346
Actual,Hungary,O,2010,511535
Actual,Hungary,T,2010,621883
Actual,Iceland,AD,2010,25349
Actual,Iceland,I,2010,0
Actual,Iceland,O,2010,76370
Actual,Iceland,T,2010,101719
Actual,Ireland,AD,2010,205535
Actual,Ireland,I,2010,14888
Actual,Ireland,O,2010,292813
Actual,Ireland,T,2010,513236
Actual,Israel,AD,2010,84394
Actual,Israel,I,2010,1312
Actual,Israel,O,2010,11550
Actual,Israel,T,2010,97256
Actual,Italy,AD,2010,824873
Actual,Italy,I,2010,369205
Actual,Italy,O,2010,517527
Actual,Italy,T,2010,1711605
Actual,Latvia,AD,2010,67728
Actual,Latvia,I,2010,1552
Actual,Latvia,O,2010,145134
Actual,Latvia,T,2010,214414
Actual,Lithuania,AD,2010,36256
Actual,Lithuania,I,2010,1011
Actual,Lithuania,O,2010,168576
Actual,Lithuania,T,2010,205843
Actual,Malta,AD,2010,32682
Actual,Malta,I,2010,59
Actual,Malta,O,2010,62198
Actual,Malta,T,2010,94939
Actual,Moldova,AD,2010,13470
Actual,Moldova,I,2010,81
Actual,Moldova,O,2010,40864
Actual,Moldova,T,2010,54415
Actual,Morocco,AD,2010,126238
Actual,Morocco,I,2010,26677
Actual,Morocco,O,2010,185966
Actual,Morocco,T,2010,338881
Actual,NEFAB,AD,2010,383874
Actual,NEFAB,I,2010,384560
Actual,NEFAB,O,2010,155294
Actual,NEFAB,T,2010,923728
Actual,Netherlands,AD,2010,455573
Actual,Netherlands,I,2010,29880
Actual,Netherlands,O,2010,527256
Actual,Netherlands,T,2010,1012709
Actual,North Macedonia,AD,2010,11910
Actual,North Macedonia,I,2010,297
Actual,North Macedonia,O,2010,112775
Actual,North Macedonia,T,2010,124982
Actual,Norway-Continental,AD,2010,206601
Actual,Norway-Continental,I,2010,288957
Actual,Norway-Continental,O,2010,41453
Actual,Norway-Continental,T,2010,537011
Actual,Poland,AD,2010,215873
Actual,Poland,I,2010,40968
Actual,Poland,O,2010,341678
Actual,Poland,T,2010,598519
Actual,Portugal-Continental,AD,2010,214968
Actual,Portugal-Continental,I,2010,31007
Actual,Portugal-Continental,O,2010,183375
Actual,Portugal-Continental,T,2010,429350
Actual,Portugal-SantaMaria,AD,2010,12511
Actual,Portugal-SantaMaria,I,2010,12947
Actual,Portugal-SantaMaria,O,2010,92327
Actual,Portugal-SantaMaria,T,2010,117785
Actual,Romania,AD,2010,116642
Actual,Romania,I,2010,28472
Actual,Romania,O,2010,324427
Actual,Romania,T,2010,469541
Actual,SES-RP2,AD,2010,1937527
Actual,SES-RP2,I,2010,6968801
Actual,SES-RP2,O,2010,194304
Actual,SES-RP2,T,2010,9100632
Actual,Serbia/Montenegro,AD,2010,66551
Actual,Serbia/Montenegro,I,2010,9020
Actual,Serbia/Montenegro,O,2010,467760
Actual,Serbia/Montenegro,T,2010,543331
Actual,Slovakia,AD,2010,28744
Actual,Slovakia,I,2010,3710
Actual,Slovakia,O,2010,337858
Actual,Slovakia,T,2010,370312
Actual,Slovenia,AD,2010,35609
Actual,Slovenia,I,2010,958
Actual,Slovenia,O,2010,291619
Actual,Slovenia,T,2010,328186
Actual,South West FAB,AD,2010,1050898
Actual,South West FAB,I,2010,560893
Actual,South West FAB,O,2010,152873
Actual,South West FAB,T,2010,1764664
Actual,Spain-Canaries,AD,2010,158301
Actual,Spain-Canaries,I,2010,79232
Actual,Spain-Canaries,O,2010,37546
Actual,Spain-Canaries,T,2010,275079
Actual,Spain-Continental,AD,2010,874043
Actual,Spain-Continental,I,2010,352184
Actual,Spain-Continental,O,2010,382039
Actual,Spain-Continental,T,2010,1608266
Actual,Sweden,AD,2010,235417
Actual,Sweden,I,2010,144530
Actual,Sweden,O,2010,284227
Actual,Sweden,T,2010,664174
Actual,Switzerland,AD,2010,429169
Actual,Switzerland,I,2010,22262
Actual,Switzerland,O,2010,573779
